X,10Gy air,20Gy air,30Gy air,40Gy air,50Gy air,10Gy O2,20Gy O2,30Gy O2,40Gy O2,50Gy O2,10Gy N2,20Gy N2,30Gy N2,40Gy N2,50Gy N2
600,-0.000333333,-0.000333333,-0.000333333,-0.000333333,-0.002,-0.000333333,0,0.000333333,0.000666667,0.001666667,0,0.000333333,0.000333333,0.000333333,0.000666667
599,0.000166667,-0.000166667,0.000166667,0.000166667,-0.0015,0.000333333,0.000666667,0.001,0.001333333,0.002,0,0,0.000333333,0.000333333,0.000666667
598,-0.000333333,-0.000333333,-0.000333333,0,-0.002,0.000666667,0.000333333,0.001,0.001333333,0.002,0,0,0,0.000333333,0.000666667
597,0,-0.000333333,-0.000333333,0,-0.002,0.000333333,0.000333333,0.001,0.001333333,0.002,0.000333333,0.000333333,0.000333333,0.000333333,0.001
596,-0.000333333,-0.000333333,-0.000333333,0,-0.002,0,0.000333333,0.001,0.001,0.001666667,0.000666667,0,0.000333333,0.000333333,0.000666667
595,0,-0.000333333,0,0.000333333,-0.001666667,0,0.000333333,0.000666667,0.001333333,0.001666667,0,0,0,0.000333333,0.000666667
594,0,-0.000333333,-0.000333333,0,-0.002,0,0,0.000666667,0.001,0.001333333,0,0,0,0,0.000666667
593,0,0,0,0.000333333,-0.001666667,0.000333333,0.000333333,0.001,0.001333333,0.001666667,0,-0.000333333,-0.000333333,0,0.000333333
592,0,-0.000333333,-0.000333333,0,-0.002,0.000333333,0,0.000666667,0.001,0.001333333,0,0,-0.000333333,0,0.000666667
591,-0.000333333,-0.000333333,-0.000333333,0,-0.002,0,0.000333333,0.000666667,0.001,0.001666667,0,0,0,0.000333333,0.000666667
590,-0.000333333,-0.000333333,-0.000333333,0,-0.002,0.000333333,0.000333333,0.001,0.001333333,0.002,-0.000333333,0,-0.000333333,0,0.000666667
589,-0.000333333,-0.000666667,-0.000333333,0,-0.002,0,0.000333333,0.000666667,0.001333333,0.001666667,0.000333333,0,0,0.000333333,0.000666667
588,0,0,0,0.000333333,-0.001666667,0.001,0.000666667,0.001,0.001333333,0.002,0.000333333,0,0,0.000333333,0.000666667
587,-0.000333333,-0.000666667,-0.000333333,0,-0.002,0,0.000333333,0.001,0.001333333,0.001333333,0.000333333,0.000333333,0,0.000333333,0.000666667
586,-0.000333333,-0.000666667,-0.000333333,0,-0.002,-0.000333333,0,0.000333333,0.001,0.001333333,0,0,0,0.000333333,0.000666667
585,-0.000333333,-0.000666667,-0.000333333,0,-0.002,0,0.000333333,0.001,0.001333333,0.001666667,0,0,0,0.000333333,0.000666667
584,-0.000333333,-0.000333333,-0.000333333,0,-0.002,0,0.000333333,0.001,0.001333333,0.001666667,0,0,-0.000333333,0,0.000666667
583,-0.000333333,-0.000666667,-0.000333333,0,-0.002,0,0.000333333,0.001333333,0.001333333,0.001666667,0,0.000333333,0,0.000333333,0.000666667
582,-0.000333333,-0.000333333,-0.000333333,0,-0.001666667,-0.000333333,0,0.000666667,0.001,0.001666667,0,0.000333333,0,0,0.000666667
581,-0.000333333,-0.000666667,-0.000333333,0,-0.002,0,0.000333333,0.001,0.001333333,0.001666667,0,0,0,0,0.000333333
580,0,-0.000666667,-0.000333333,0,-0.001333333,0.000333333,0.000333333,0.001,0.001,0.001666667,-0.000333333,-0.000333333,0,0,0.000333333
579,0,0,0,0.000333333,-0.001666667,0,0.000333333,0.000666667,0.001333333,0.001666667,-0.000333333,-0.000333333,0,0,0.000333333
578,-0.000333333,-0.000666667,-0.000333333,0,-0.002,0.000333333,0.000666667,0.001,0.001666667,0.002,0,0,0,0.000333333,0.000666667
577,-0.000333333,-0.000666667,-0.000333333,0,-0.002,0.000333333,0.000666667,0.001,0.001333333,0.002,-0.000333333,-0.000333333,-0.000333333,0,0.000333333
576,0.000333333,-0.000333333,0,0.000333333,-0.001666667,0,0.000333333,0.000666667,0.001,0.001666667,0,0,0,0.000333333,0.000666667
575,-0.000333333,-0.000333333,-0.000333333,0,-0.002,0.000333333,0,0.000333333,0.001,0.001333333,-0.000333333,0,0,0,0.000666667
574,0,-0.000333333,0,0.000333333,-0.001666667,0,0,0.000333333,0.000666667,0.001333333,0,0,0,0.000333333,0.001
573,0,-0.000333333,0,0.000333333,-0.001333333,0.000333333,0.000333333,0.000666667,0.000666667,0.001666667,-0.000333333,0,0,0.000333333,0.000666667
572,0,-0.000333333,0,0.000333333,-0.001666667,0,0,0.000333333,0.000666667,0.001333333,0,0,0,0.000333333,0.000666667
571,0,-0.000333333,0,0.000333333,-0.001666667,0.000333333,0.000333333,0.000666667,0.001,0.001666667,0,0,0,0.000333333,0.000666667
570,0,-0.000666667,-0.000333333,0,-0.001333333,0,-0.000333333,0,0.000666667,0.001,0,0,0,0,0.000666667
569,-0.000333333,-0.000666667,-0.000333333,0,-0.001666667,-0.000333333,-0.000333333,0,0.000333333,0.001,0.000333333,0.000333333,0,0.000333333,0.001
568,-0.000333333,-0.000333333,-0.000333333,0,-0.001666667,0,-0.000333333,0,0.000333333,0.001,0.000333333,0.000333333,0.000333333,0.000333333,0.001
567,0,-0.000333333,-0.000333333,0,-0.001666667,0,0,0.000333333,0.000666667,0.001333333,0.000333333,0,0,0.000333333,0.001
566,-0.000333333,-0.000666667,-0.000333333,0,-0.001666667,-0.000333333,-0.000333333,0,0.000333333,0.001,0,0,-0.000333333,0,0.000333333
565,0,-0.000333333,-0.000333333,0,-0.001333333,-0.000333333,0,0,0.000333333,0.001,0.000333333,0.000333333,0.000333333,0.000333333,0.001
564,-0.000333333,-0.000666667,-0.000333333,0,-0.002,0.000333333,0.000666667,0.000666667,0.001,0.001666667,0.000333333,0.000333333,0.000333333,0.000333333,0.000666667
563,0,-0.000333333,-0.000333333,0,-0.001666667,-0.000333333,0,0,0.000333333,0.001,0,0.000333333,0,0,0.000666667
562,-0.000333333,-0.000666667,-0.000333333,0,-0.002,-0.000333333,0,0,0.000333333,0.001,0,0.000333333,0,0.000333333,0.000666667
561,0,-0.000666667,0,0.000333333,-0.001666667,0,0.000666667,0.000666667,0.000666667,0.001666667,0,0,0.000333333,0.000333333,0.001
560,0,-0.000333333,0,0.000333333,-0.001333333,0,0.000333333,0.000333333,0.000666667,0.001333333,0,0.000333333,0,0.000333333,0.000666667
559,0,-0.000333333,0,0.000333333,-0.001666667,-0.000333333,0,0,0.000333333,0.001,0,0.000333333,0,0.000333333,0.001
558,-0.000333333,-0.000666667,-0.000333333,0,-0.001333333,0,0.000333333,0.000333333,0.000666667,0.001333333,0.000333333,0.000333333,0.000333333,0.000333333,0.001
557,0,-0.000333333,-0.000333333,0,-0.001333333,0,0.000333333,0.000666667,0.000666667,0.001666667,0.000333333,0.000333333,0.000333333,0.000333333,0.001
556,-0.000333333,-0.000333333,-0.000333333,0,-0.001666667,-0.000333333,0,0,0.000333333,0.001,0,0,0,0,0.000666667
555,-0.000333333,-0.000333333,-0.000333333,0,-0.001333333,0.000333333,0.000666667,0.000666667,0.001333333,0.002,0,0,0,0,0.000333333
554,-0.000333333,-0.000333333,-0.000333333,0,-0.001666667,-0.000333333,0,0,0.000333333,0.001333333,0,0,0,0,0.000666667
553,0,-0.000333333,-0.000333333,0,-0.001666667,0,0.000333333,0.000333333,0.001,0.001666667,0.000333333,0.000333333,0.000333333,0.000333333,0.001
552,-0.000333333,-0.000333333,-0.000333333,0,-0.001666667,0.000666667,0.001,0.001,0.001333333,0.002,0,0.000333333,0,0.000333333,0.000666667
551,-0.000333333,-0.000666667,-0.000333333,0,-0.001333333,0.000666667,0.001,0.001,0.001333333,0.002,0.000333333,0.000333333,0,0.000333333,0.000666667
550,-0.000333333,-0.000666667,-0.000333333,0,-0.001666667,0.000666667,0.001,0.001,0.001333333,0.002,0,0.000333333,0,0.000333333,0.000666667
549,0,-0.000333333,-0.000333333,0,-0.001333333,-0.000333333,0,0.000333333,0.000333333,0.001,0,0,-0.000333333,0,0.000666667
548,0,-0.000333333,-0.000333333,0,-0.001666667,0,0.000333333,0.000666667,0.000666667,0.001666667,0.000333333,0.000333333,0,0.000333333,0.001333333
547,-0.000333333,-0.000333333,-0.000333333,0,-0.001666667,0.000333333,0.000666667,0.001,0.001,0.001666667,-0.000333333,0,-0.000333333,0,0.000333333
546,-0.000333333,-0.000666667,-0.000333333,-0.000333333,-0.001666667,0.000666667,0.000666667,0.001333333,0.001,0.002,0,0,0,0.000333333,0.000666667
545,-0.000333333,-0.000666667,-0.000333333,0,-0.001666667,0.000333333,0.000333333,0.001,0.001,0.001666667,0,0.000333333,0.000333333,0.000333333,0.000666667
544,-0.000333333,-0.000666667,-0.000333333,0,-0.001666667,0.000333333,0.000333333,0.001,0.001,0.001666667,0.000333333,0.000333333,0,0.000333333,0.000666667
543,-0.000333333,-0.000333333,-0.000333333,0,-0.001666667,0.000333333,0.000333333,0.001,0.001,0.001666667,0,0.000333333,0,0.000333333,0.001
542,-0.000333333,-0.000333333,-0.000333333,0,-0.001333333,0.000333333,0,0.000666667,0.000666667,0.001333333,0.000333333,0.000333333,0.000333333,0.000333333,0.000666667
541,-0.000666667,-0.000666667,-0.000333333,-0.000333333,-0.001333333,0.000333333,0.000333333,0.001,0.001,0.001666667,0.000333333,0.000333333,0,0.000333333,0.000666667
540,-0.000333333,-0.000333333,-0.000333333,-0.000333333,-0.001333333,0,0.000333333,0.001,0.001,0.001666667,0,0.000333333,0,0.000333333,0.001
539,-0.000333333,-0.000333333,-0.000333333,0,-0.001,0,0.000333333,0.001,0.001,0.001666667,0.000333333,0,0,0.000333333,0.000666667
538,-0.000333333,-0.000666667,-0.000333333,-0.000333333,-0.002,0,0.000333333,0.001,0.000666667,0.001666667,0,0,0,0.000333333,0.000666667
537,-0.000333333,-0.000333333,-0.000333333,-0.000333333,-0.001333333,0,0.000333333,0.001,0.001,0.001666667,0,0.000333333,0,0.000333333,0.001
536,-0.000333333,-0.000333333,-0.000333333,-0.000333333,-0.001,0.000333333,0.000333333,0.001,0.001,0.001666667,0.000333333,0.000333333,0,0.000333333,0.000666667
535,-0.000333333,-0.000666667,-0.000333333,-0.000333333,-0.001,0.000333333,0.000333333,0.001,0.001,0.001666667,0,0.000333333,0,0.000333333,0.000666667
534,-0.000333333,-0.000333333,-0.000333333,-0.000333333,-0.001333333,0,0.000333333,0.001,0.000666667,0.001666667,0,0.000333333,0,0.000333333,0.001
533,-0.000333333,-0.000666667,-0.000333333,-0.000333333,-0.001333333,0,0.000333333,0.001,0.000666667,0.001666667,0,0,0,0.000333333,0.000666667
532,0,-0.000666667,-0.000333333,-0.000333333,-0.001333333,0,0.000333333,0.001,0.000666667,0.001666667,0,0.000333333,0,0.000333333,0.000666667
531,-0.000333333,-0.000333333,-0.000333333,-0.000333333,-0.001333333,0,0.000333333,0.001,0.000666667,0.001666667,0,0,0,0.000333333,0.001
530,-0.000333333,-0.000666667,-0.000333333,-0.000333333,-0.001333333,0,0.000333333,0.000666667,0.000666667,0.001666667,-0.000333333,0,0,0.000333333,0.000666667
529,-0.000333333,-0.000333333,-0.000666667,0,-0.001666667,0,0.000333333,0.001,0.000666667,0.001666667,0,0,0,0.000333333,0.001
528,-0.000333333,-0.000333333,-0.000333333,-0.000333333,-0.001333333,0,0.000333333,0.001,0.001,0.001333333,-0.000333333,0,0,0.000333333,0.000666667
527,-0.000333333,0,-0.000333333,0,-0.001333333,0,0.000333333,0.000666667,0.001,0.001666667,0,0,0,0.000333333,0.001
526,-0.000333333,-0.000666667,-0.000333333,0,-0.001333333,0,0.000333333,0.000666667,0.000666667,0.001333333,-0.000333333,0,0,0.000333333,0.000666667
525,-0.000666667,-0.000666667,-0.000666667,0,-0.001333333,0,0.000333333,0.001,0.000666667,0.001333333,-0.000333333,0,0.000333333,0.000333333,0.001
524,-0.000333333,-0.000333333,-0.000666667,0,-0.001666667,0,0.000333333,0.001,0.000666667,0.001666667,0,0,0,0.000333333,0.000666667
523,0,-0.000333333,-0.000333333,0,-0.001333333,0,0.000333333,0.001,0.000666667,0.001666667,-0.000333333,-0.000333333,0,0.000333333,0.000666667
522,-0.000333333,-0.000333333,-0.000333333,-0.000333333,-0.001333333,0.000333333,0.000666667,0.001,0.001,0.001666667,-0.000333333,-0.000333333,0,0.000333333,0.000666667
521,-0.000666667,-0.000666667,-0.000666667,-0.000333333,-0.001333333,0.000333333,0.000666667,0.001,0.001,0.001666667,-0.000333333,0,0,0.000333333,0.000666667
520,-0.000666667,-0.000666667,-0.000666667,-0.000333333,-0.001666667,0.000333333,0.000666667,0.001,0.001,0.001666667,-0.000333333,0,0,0.000333333,0.000666667
519,-0.000333333,-0.000666667,-0.000333333,0,-0.001333333,0.000333333,0.000333333,0.000666667,0.001,0.001666667,-0.000333333,-0.000333333,0,0,0.000666667
518,-0.000333333,-0.000666667,-0.000333333,0,-0.001333333,0.000333333,0.000666667,0.001,0.001,0.001666667,-0.000333333,-0.000333333,0,0.000333333,0.000666667
517,-0.000666667,-0.000333333,-0.000666667,-0.000333333,-0.001666667,0.000333333,0.000666667,0.001,0.001,0.001666667,-0.000333333,-0.000333333,0,0.000333333,0.000666667
516,0,-0.000333333,-0.000333333,0,-0.001333333,0.000333333,0.000666667,0.001,0.001,0.001666667,-0.000333333,-0.000333333,0,0,0.000666667
515,-0.000333333,-0.000666667,-0.000666667,-0.000333333,-0.001666667,0.000333333,0.000666667,0.001,0.001,0.001666667,-0.000333333,-0.000333333,0,0.000333333,0.000666667
514,-0.000666667,-0.000666667,-0.000666667,-0.000333333,-0.001666667,0.000333333,0.000666667,0.000666667,0.001,0.001666667,-0.000333333,-0.000333333,0,0.000333333,0.000666667
513,-0.000666667,-0.000666667,-0.000666667,0,-0.001666667,0.000666667,0.000666667,0.001,0.001333333,0.002,-0.000333333,-0.000333333,0.000333333,0.000333333,0.001
512,-0.000333333,-0.000666667,-0.000666667,0,-0.001666667,0.000333333,0.000333333,0.000666667,0.001,0.001666667,-0.000333333,-0.000333333,0.000333333,0,0.001
511,-0.000666667,-0.000666667,-0.000666667,-0.000333333,-0.001666667,-0.000333333,0.000333333,0.000666667,0.000666667,0.001666667,-0.000333333,-0.000333333,0,0,0.000666667
510,-0.000333333,-0.000666667,-0.000333333,0,-0.001666667,0,0.000333333,0.001,0.001,0.001666667,-0.000333333,0,0,0.000333333,0.001
509,-0.000333333,-0.000333333,-0.000333333,0.000333333,-0.001333333,0,0.000666667,0.001,0.001,0.001666667,-0.000333333,-0.000333333,0,0,0.001
508,-0.000333333,-0.000666667,-0.000666667,0,-0.002,0,0.000333333,0.000666667,0.001,0.001666667,-0.000333333,-0.000333333,0.000333333,0,0.001
507,-0.000333333,-0.000333333,-0.000666667,0,-0.001666667,0,0.000333333,0.000666667,0.000666667,0.001333333,-0.000333333,-0.000333333,0,0.000333333,0.000666667
506,-0.000333333,-0.000333333,-0.000666667,0,-0.001333333,0,0.000333333,0.000666667,0.000666667,0.001666667,0,0,0,0.000333333,0.000666667
505,0,0,-0.000333333,0,-0.001,0,0.000333333,0.000666667,0.001,0.001666667,0,0.000333333,0.000333333,0.000666667,0.000666667
504,0,0,-0.000333333,0,-0.001,0,0,0.000666667,0.001,0.001666667,0,0,0,0.000333333,0.000666667
503,-0.000333333,-0.000333333,0,0,-0.001,0,0.000333333,0.000666667,0.001333333,0.002,0,0.000333333,0.000333333,0.000333333,0.001333333
502,0,0,0,0,-0.001,0.000666667,0.000666667,0.001,0.001333333,0.002,-0.000333333,0.000333333,0,0.000333333,0.000666667
501,0.000333333,0,0,0,-0.000666667,0.000333333,0.000666667,0.001,0.001333333,0.002333333,-0.000333333,0.000333333,-0.000333333,0,0.000666667
500,0.000333333,0.000333333,0,0.000333333,-0.000666667,0.000333333,0.000666667,0.000666667,0.001,0.002,-0.000333333,0.000333333,-0.000333333,0.000333333,0.000666667
499,0.000333333,0.000333333,0.000333333,0,-0.000666667,0.000333333,0.000333333,0.001,0.001,0.002,-0.000333333,0.000333333,-0.000333333,0.000333333,0.000666667
498,0,0.000333333,0.000333333,0,-0.000666667,0.000333333,0.000333333,0.000333333,0.001,0.002,-0.000333333,0.000333333,-0.000333333,0,0.000666667
497,-0.000333333,0,0,0,-0.001,0.000333333,0.000666667,0.001,0.001,0.002,-0.000333333,0.000333333,0,0.000333333,0.000666667
496,-0.000333333,-0.000333333,0,-0.000333333,-0.001,0.000333333,0.000333333,0.000666667,0.001,0.002,-0.000333333,0,-0.000333333,0.000333333,0.000666667
495,0.000333333,0.000333333,0.000333333,0.000333333,-0.000666667,0,0,0.000666667,0.001333333,0.002,0,0.000333333,0.000333333,0.000666667,0.001333333
494,0,0,0,0,-0.000666667,0,0,0.001,0.001333333,0.002,0,0.000333333,0.000333333,0.000666667,0.001333333
493,0,0,0.000333333,0,-0.000666667,0,0.000333333,0.000666667,0.001333333,0.002,-0.000666667,-0.000333333,-0.000333333,0,0.000666667
492,0,0,0,0,-0.000666667,0,0,0.000666667,0.001333333,0.002,0,0,0.000333333,0.000333333,0.001
491,-0.000333333,-0.000333333,-0.000333333,-0.000333333,-0.001,0.000333333,0.000333333,0.001,0.001333333,0.002,-0.000333333,0,0,0.000333333,0.001
490,-0.000333333,-0.000333333,-0.000333333,-0.000333333,-0.001,0,0,0.000666667,0.001333333,0.002,0,0,0.000333333,0.000333333,0.000333333
489,0,0,0,0,-0.000666667,0,0,0.000666667,0.001333333,0.002,0,0,0.000333333,0.000333333,0.001
488,0,0,-0.000333333,-0.000333333,-0.001,0,0.000333333,0.001,0.001333333,0.002,-0.000333333,-0.000333333,0,0.000333333,0.001
487,-0.000333333,0.000333333,0,0,-0.001,0.000666667,0.000333333,0.001,0.001333333,0.002,-0.000333333,0,0,0.000333333,0.001
486,0.000333333,0.000666667,0.000333333,0.000333333,-0.000333333,0,0,0.000666667,0.001333333,0.002,-0.000333333,-0.000333333,0,0.000333333,0.000666667
485,-0.000333333,0,-0.000333333,-0.000333333,-0.001,0,0.000333333,0.001,0.001333333,0.002,-0.000333333,0,0,0.000333333,0.001
