"ReturnCode","LL","tvV","tvCl","dVdWT","dCldWT","dVdAGE","dCldAGE","CEps","Ke","Tinf","AUC","Coef","Cmax","AUMCIV","AUMC","MRT","VSS","Ke_hl","omega(nV,nV)","omega(nCl,nV)","omega(nCl,nCl)"
1,-450.355,24.8091,8.72806,1.42326,1.81456,-0.15358,-0.197805,0.691671,0.35181,0.9166,4.81206,5.2499,1.44709,13.678,15.8834,2.84245,24.8091,1.97023,0.123352,0.111197,0.106092
1,-472.525,23.1632,7.58819,1.21354,1.43932,-0.0996301,-0.124443,0.694923,0.327597,1,8.30237,8.30237,2.31924,25.3432,29.4944,3.05253,23.1632,2.11585,0.126812,0.116731,0.112094
1,-420.495,23.4467,7.15389,1.41944,1.66849,-0.152966,-0.212734,0.644216,0.305113,0.833301,14.8171,17.7812,3.99194,48.5628,54.7363,3.27748,23.4467,2.27177,0.136726,0.133302,0.132123
1,-327.624,18.6735,6.52101,0.838361,1.27774,-0.0570463,-0.186311,0.491031,0.349211,1,11.1946,11.1946,3.29967,32.0568,37.6541,2.8636,18.6735,1.98489,0.0176431,0.0249385,0.0389497
1,-408.703,24.3058,7.95834,1.38573,1.72108,-0.132211,-0.21511,0.67667,0.327426,1,7.41361,7.41361,2.07005,22.6421,26.3489,3.05413,24.3058,2.11696,0.105371,0.0922766,0.0855728
1,-400.201,23.5001,7.71053,0.918194,1.2397,-0.12069,-0.202107,0.686439,0.328107,1,9.46757,9.46757,2.64821,28.8552,33.589,3.04779,23.5001,2.11257,0.104338,0.0912464,0.0889882
3,-372.872,18.8944,6.33487,0.846654,1.21367,-0.0143171,-0.130576,0.516265,0.335277,1.05,20.8371,19.8448,5.88893,62.1487,73.0882,2.9826,18.8944,2.06738,0.00792162,0.0202595,0.051815
1,-360.239,21.2315,6.90138,0.641123,0.941143,0.0306276,-0.0210651,0.510726,0.325054,0.9166,6.08574,6.63947,1.71071,18.7223,21.5113,3.07641,21.2315,2.13241,6.88609e-005,0.000913707,0.0128713
1,-523.578,25.7344,8.17469,1.19724,1.43712,-0.13725,-0.209865,0.747492,0.317657,1.05,16.1474,15.3784,4.36159,50.8328,59.3102,3.14805,25.7344,2.18206,0.179141,0.153014,0.137296
3,-375.975,20.0358,6.65139,0.98102,1.51344,-0.0540617,-0.157515,0.523222,0.331975,1,7.66757,7.66757,2.16605,23.0968,26.9306,3.01228,20.0358,2.08795,0.00810091,0.0216187,0.057694
1,-365.932,19.2576,6.69749,0.640845,1.05768,0.0502968,-0.040281,0.525504,0.347783,0.933,11.0489,11.8424,3.2815,31.7696,36.9239,2.87535,19.2576,1.99304,0.0101771,0.018528,0.0337346
2,-376.658,20.4627,6.58057,0.9458,1.33002,-0.0607803,-0.163568,0.561468,0.321588,1.05,20.0591,19.1038,5.47455,62.3749,72.9059,3.10956,20.4627,2.15539,0.00632719,0.0201489,0.0642251
1,-592.405,25.2532,8.0182,2.13175,2.29278,-0.198569,-0.233423,0.82161,0.317512,1.05,12.4716,11.8777,3.36743,39.2793,45.8269,3.14949,25.2532,2.18306,0.253731,0.214528,0.183777
1,-275.921,19.3404,6.20876,0.751847,1.21696,-0.0327467,-0.1757,0.509145,0.321026,0.833301,17.0727,20.488,4.80891,53.1815,60.2949,3.11501,19.3404,2.15916,0.00277365,0.0121859,0.0537453
3,-366.201,20.8916,7.63197,1.03329,1.5731,-0.0768706,-0.191399,0.54202,0.365312,1.03,12.8407,12.4667,3.90936,35.15,41.763,2.73739,20.8916,1.89741,0.00413374,0.0114371,0.0316444
1,-511.057,32.3442,10.3518,1.86566,2.11096,-0.210995,-0.226748,0.821354,0.320052,1,7.05191,7.05191,1.93144,22.0337,25.5596,3.1245,32.3442,2.16574,0.168833,0.157019,0.151236
1,-364.021,19.7349,6.42071,1.23323,1.66583,-0.0996335,-0.199704,0.537843,0.325349,1.05,15.5746,14.8329,4.29235,47.8704,56.0471,3.07362,19.7349,2.13047,0.0128089,0.029009,0.0657367
1,-591.355,35.3753,10.9886,1.97899,2.15711,-0.223417,-0.23515,0.879694,0.310629,1.05,10.9204,10.4004,2.89454,35.1559,40.8891,3.21928,35.3753,2.23143,0.218561,0.193181,0.170963
1,-474.928,27.8579,9.23348,1.67517,1.62037,-0.245789,0.0943007,0.791472,0.331449,1,7.90601,7.90601,2.23042,23.8529,27.8059,3.01706,27.8579,2.09127,0.21623,0.186047,0.16008
